iter	Passed	Remaining
0	9	9310
1	17	8969
2	26	8780
3	35	8764
4	43	8638
5	52	8615
6	60	8637
7	69	8624
8	78	8642
9	87	8649
10	96	8672
11	104	8625
12	113	8633
13	125	8842
14	136	8962
15	146	9033
16	157	9085
17	166	9078
18	176	9102
19	185	9088
20	193	9030
21	202	8997
22	211	9005
23	221	9018
24	230	8984
25	238	8941
26	247	8905
27	256	8890
28	264	8865
29	273	8845
30	281	8803
31	291	8828
32	301	8820
33	310	8812
34	319	8801
35	328	8798
36	337	8795
37	347	8788
38	356	8773
39	364	8741
40	373	8745
41	382	8717
42	391	8721
43	400	8702
44	409	8688
45	418	8676
46	427	8659
47	437	8667
48	446	8656
49	455	8657
50	464	8637
51	473	8635
52	482	8628
53	491	8616
54	500	8607
55	509	8590
56	518	8572
57	527	8562
58	536	8553
59	546	8563
60	556	8559
61	564	8543
62	574	8539
63	582	8519
64	591	8503
65	599	8490
66	608	8473
67	617	8461
68	625	8443
69	634	8430
70	644	8427
71	653	8416
72	661	8403
73	671	8399
74	681	8405
75	690	8394
76	700	8391
77	709	8381
78	718	8376
79	728	8376
80	738	8373
81	746	8359
82	756	8360
83	766	8353
84	774	8339
85	783	8331
86	793	8325
87	801	8310
88	811	8304
89	820	8300
90	830	8295
91	839	8288
92	850	8295
93	859	8288
94	868	8277
95	878	8270
96	887	8258
97	896	8251
98	906	8247
99	915	8237
100	924	8226
101	933	8222
102	946	8239
103	955	8235
104	966	8235
105	975	8231
106	985	8224
107	994	8213
108	1004	8210
109	1013	8200
110	1024	8204
111	1033	8193
112	1043	8188
113	1052	8180
114	1061	8167
115	1069	8151
116	1078	8138
117	1086	8122
118	1095	8110
119	1104	8099
120	1113	8087
121	1121	8074
122	1130	8058
123	1139	8050
124	1151	8059
125	1161	8055
126	1170	8048
127	1180	8039
128	1189	8030
129	1199	8027
130	1208	8015
131	1218	8011
132	1226	7997
133	1234	7979
134	1244	7971
135	1252	7957
136	1261	7948
137	1270	7938
138	1280	7929
139	1289	7920
140	1299	7914
141	1307	7899
142	1316	7891
143	1325	7880
144	1334	7867
145	1343	7857
146	1352	7846
147	1361	7838
148	1371	7832
149	1380	7821
150	1388	7809
151	1398	7800
152	1406	7787
153	1415	7776
154	1424	7763
155	1433	7754
156	1441	7741
157	1450	7730
158	1459	7717
159	1468	7710
160	1477	7698
161	1486	7689
162	1495	7681
163	1505	7672
164	1514	7662
165	1523	7652
166	1532	7644
167	1540	7631
168	1550	7621
169	1559	7613
170	1568	7605
171	1577	7595
172	1587	7588
173	1596	7580
174	1606	7571
175	1615	7563
176	1624	7553
177	1633	7542
178	1642	7534
179	1652	7527
180	1661	7516
181	1671	7510
182	1681	7505
183	1690	7497
184	1698	7483
185	1707	7472
186	1717	7464
187	1726	7457
188	1736	7449
189	1745	7439
190	1753	7428
191	1762	7419
192	1773	7413
193	1782	7404
194	1791	7393
195	1801	7388
196	1810	7378
197	1819	7369
198	1829	7362
199	1838	7354
200	1847	7343
201	1855	7330
202	1864	7321
203	1873	7311
204	1882	7300
205	1892	7295
206	1901	7284
207	1910	7276
208	1919	7264
209	1928	7253
210	1936	7241
211	1944	7228
212	1953	7218
213	1962	7209
214	1972	7202
215	1982	7194
216	1992	7188
217	2000	7177
218	2009	7167
219	2018	7156
220	2027	7147
221	2036	7136
222	2045	7126
223	2054	7117
224	2063	7107
225	2072	7097
226	2081	7086
227	2091	7081
228	2100	7071
229	2108	7060
230	2118	7051
231	2127	7041
232	2136	7031
233	2144	7020
234	2153	7010
235	2162	7000
236	2173	6997
237	2183	6992
238	2193	6983
239	2204	6979
240	2213	6970
241	2222	6961
242	2231	6952
243	2242	6946
244	2251	6939
245	2261	6932
246	2271	6924
247	2281	6917
248	2289	6906
249	2300	6900
250	2310	6894
251	2320	6886
252	2328	6875
253	2338	6867
254	2347	6858
255	2355	6846
256	2365	6837
257	2373	6827
258	2383	6820
259	2393	6811
260	2403	6805
261	2412	6794
262	2421	6784
263	2430	6774
264	2438	6762
265	2446	6751
266	2455	6740
267	2464	6732
268	2474	6723
269	2483	6714
270	2491	6703
271	2501	6695
272	2510	6684
273	2519	6676
274	2529	6668
275	2538	6659
276	2548	6650
277	2557	6640
278	2566	6631
279	2574	6620
280	2584	6612
281	2593	6603
282	2602	6593
283	2612	6585
284	2621	6577
285	2630	6567
286	2639	6556
287	2647	6546
288	2656	6535
289	2664	6524
290	2674	6515
291	2683	6505
292	2692	6496
293	2701	6486
294	2710	6477
295	2720	6469
296	2729	6460
297	2737	6449
298	2747	6441
299	2755	6430
300	2765	6422
301	2775	6414
302	2785	6406
303	2794	6398
304	2804	6389
305	2813	6380
306	2821	6369
307	2830	6359
308	2839	6349
309	2847	6337
310	2858	6331
311	2867	6322
312	2876	6314
313	2885	6304
314	2894	6293
315	2903	6285
316	2913	6276
317	2922	6267
318	2931	6257
319	2940	6248
320	2949	6239
321	2958	6229
322	2968	6221
323	2977	6212
324	2986	6202
325	2996	6195
326	3006	6188
327	3015	6179
328	3025	6171
329	3035	6163
330	3044	6152
331	3053	6142
332	3062	6134
333	3072	6127
334	3081	6117
335	3090	6106
336	3099	6097
337	3108	6088
338	3117	6079
