iter	RMSE
0	479.3316831
1	409.7097045
2	364.9484844
3	339.421883
4	316.6854842
5	302.1114845
6	298.3387378
7	292.0330111
8	281.9438014
9	270.9025845
10	266.3181628
11	257.3877385
12	253.7748077
13	242.9438176
14	234.8631529
15	232.0761206
16	229.7896878
17	224.0231411
18	221.7354095
19	220.2137419
20	218.5292803
21	212.2423147
22	211.2166349
23	206.6581753
24	201.226753
25	197.7414639
26	195.154498
27	190.2334609
28	189.3329077
29	182.4198778
30	181.5136103
31	177.0897986
32	173.9363468
33	173.2296365
34	171.400463
35	170.827209
36	170.2564648
37	169.2956171
38	167.8620117
39	164.9543918
40	162.4104505
41	161.8913732
42	158.3294759
43	156.9220249
44	153.1497333
45	151.3207417
46	149.7935605
47	148.7672595
48	148.3750078
49	148.0727187
50	147.5768507
51	144.9372566
52	143.5411496
53	143.1259567
54	142.8038714
55	142.5827641
56	141.5960725
57	139.2959723
58	137.6320324
59	135.3103007
60	134.236579
61	133.8241225
62	133.1210117
63	132.8879075
64	131.7388227
65	130.6321892
66	130.2347159
67	128.6307138
68	127.9207607
69	127.7376333
70	126.6700504
71	126.3004603
72	123.8276605
73	123.6633375
74	122.2845427
75	122.1321928
76	122.0039415
77	119.6781684
78	119.1612194
79	118.9578693
80	118.4291466
81	117.6488257
82	116.8540462
83	116.6704606
84	116.231235
85	116.1145412
86	114.2862638
87	114.1327157
88	113.0202144
89	112.9057743
90	112.2837111
91	112.061063
92	111.6845663
93	111.1901833
94	111.103346
95	110.9776123
96	109.5069478
97	109.4334483
98	108.6307216
99	107.6391996
